city_ascii,lat,lng,population
Tokyo,35.6870,139.7495,37785000
Jakarta,-6.1750,106.8275,33756000
Delhi,28.6100,77.2300,32226000
Guangzhou,23.1300,113.2600,26940000
Mumbai,19.0761,72.8775,24973000
Manila,14.5958,120.9772,24922000
Shanghai,31.2286,121.4747,24073000
Sao Paulo,-23.5504,-46.6339,23086000
Seoul,37.5667,126.9833,23016000
Mexico City,19.4333,-99.1333,21804000
Kolkata,22.5675,88.3700,21747000
Cairo,30.0444,31.2358,20296000
Karachi,24.8600,67.0100,20249000
Dhaka,23.7289,90.3944,19134000
New York,40.6943,-73.9249,18832416
Beijing,39.9067,116.3975,18522000
Bangkok,13.7525,100.4942,18007000
Shenzhen,22.5415,114.0596,17619000
Moscow,55.7506,37.6175,17332000
Buenos Aires,-34.6036,-58.3814,16710000
Lagos,6.4550,3.3841,16637000
Bangalore,12.9789,77.5917,15386000
Ho Chi Minh City,10.7756,106.7019,15136000
Osaka,34.6939,135.5022,15126000
Chengdu,30.6600,104.0633,14645000
Istanbul,41.0136,28.9550,14441000
Tehran,35.6889,51.3897,14148000
Kinshasa,-4.3219,15.3119,12836000
Rio de Janeiro,-22.9111,-43.2056,12592000
Chennai,13.0825,80.2750,12395000
Xi'an,34.2611,108.9422,12328000
Lahore,31.5497,74.3436,12306000
Chongqing,29.5637,106.5504,12135000
Los Angeles,34.1141,-118.4068,11885717
London,51.5072,-0.1275,11262000
Paris,48.8567,2.3522,11060000
Linyi,35.1038,118.3564,10820000
Dongguan,23.0210,113.7520,10646000
Baoding,38.8740,115.4640,10546831
Hyderabad,17.3617,78.4747,10494000
Tianjin,39.1336,117.2054,10368000
Lima,-12.0600,-77.0375,10320000
Wuhan,30.5934,114.3046,10251000
Nanyang,32.9902,112.5285,9577771
Hangzhou,30.2670,120.1530,9523000
Nagoya,35.1833,136.9000,9197000
Luanda,-8.8383,13.2344,9051000
Foshan,23.0214,113.1216,9042500
Kuala Lumpur,3.1686,101.6980,8911000
Zhoukou,33.6367,114.7014,8677800
Tongshan,34.2610,117.1859,8669000
Hanoi,21.0000,105.8500,8587100
Chicago,41.8375,-87.6866,8489066
Nanjing,32.0608,118.7789,8422000
Heze,35.2343,115.4796,8287693
Pune,18.5203,73.8567,8231000
Jining,35.4151,116.5871,8081905
Bogota,4.7111,-74.0722,8034649
Ahmedabad,23.0225,72.5714,8009000
Shenyang,41.8025,123.4281,7964000
Dar es Salaam,-6.8161,39.2803,7962000
Khartoum,15.6031,32.5265,7869000
Johannesburg,-26.2044,28.0456,7860781
Fuyang,32.8900,115.8140,7599913
Hong Kong,22.3000,114.2000,7450000
Ganzhou,25.8310,114.9330,7396873
Shangqiu,34.4150,115.6560,7325300
